1	Food-Spice	turmeric powder	Lead	2.9	ppm	Unknown	INDIA	UNITED STATES	01/04/2011	C	YES
2	Food-Spice	cumin powder	Lead	2.4	ppm	Unknown	INDIA	UNITED STATES	01/04/2011	C	YES
3	Food-Spice	cumin seeds	Lead	2.8	ppm	Unknown	INDIA	UNITED STATES	01/04/2011	C	YES
4	Food-Spice	masala	Lead	12	ppm	Unknown	Unknown	UNITED STATES	01/04/2011	C	YES
5	Food-Candy	tamarind candy	Lead	Unknown	ppm	Unknown	Unknown	UNITED STATES	01/06/2011	A	NA
6	Food-Candy	lucas muecas candy	Lead	Unknown	ppm	Lucas Muecas	MEXICO	UNITED STATES	01/06/2011	A	NA
7	Jewelry	amulet	Lead	580000	ppm	Unknown	BANGLADESH	BANGLADESH	01/13/2011	C	YES
8	Cosmetics	surma	Lead	410000	ppm	Unknown	PAKISTAN	PAKISTAN	01/19/2011	C	YES
9	Food-Spice	chili powder	Lead	Unknown	ppm	Unknown	INDIA	INDIA	01/19/2011	C	NA
10	Food-Spice	turmeric	Lead	Unknown	ppm	Unknown	INDIA	INDIA	01/19/2011	C	NA
11	Food-Spice	garam masala	Lead	3.2	ppm	Unknown	INDIA	INDIA	01/19/2011	C	YES
12	Food-Spice	garam masala	Lead	3.8	ppm	Unknown	INDIA	INDIA	01/19/2011	C	YES
13	Food-Spice	red pepper spice	Lead	Unknown	ppm	Unknown	Unknown	GHANA	01/19/2011	C	NA
14	Food-Spice	turmeric powder	Lead	610	ppm	Unknown	BANGLADESH	BANGLADESH	01/21/2011	C	YES
15	Food-Spice	chili powder	Lead	3.8	ppm	Unknown	BANGLADESH	BANGLADESH	01/21/2011	C	YES
16	Dietary Supplement/Medications/Remedy	pregnita	Lead	12000	ppm	Ajmera Pharmaceuticals PVT. LTD.	INDIA	INDIA	01/24/2011	A	YES
17	Dietary Supplement/Medications/Remedy	calcimax 500	Lead	2.7	ppm	Meyer Vitabiotics	INDIA	INDIA	01/24/2011	A	YES
18	Food-Spice	turmeric	Lead	1.5	ppm	Unknown	Unknown	UNITED STATES	01/24/2011	A	NO
19	Food-Spice	chili pepper	Lead	Unknown	ppm	Unknown	Unknown	UNITED STATES	01/24/2011	C	NA
20	Food Other	cheetos crunchy	Lead	Unknown	ppm	Frito Lays	DOMINICAN REPUBLIC	DOMINICAN REPUBLIC	02/07/2011	C	NA
21	Food Other	cheetos crunchy	Lead	Unknown	ppm	Frito Lay	DOMINICAN REPUBLIC	DOMINICAN REPUBLIC	02/07/2011	C	NA
22	Cosmetics	johnson johnson baby powder	Lead	Unknown	ppm	Dipsoduske oleh	INDONESIA	Unknown	02/07/2011	C	NA
23	Food Other	dulces vero	Lead	Unknown	ppm	Viacom	MEXICO	MEXICO	02/08/2011	C	NA
24	Food-Spice	crevette fish bouillon	Lead	Unknown	ppm	Nestle	GUINEA	UNITED STATES	02/08/2011	C	NA
25	Jewelry	amuletcharm	Lead	500000	ppm	Unknown	Unknown	UNITED STATES	02/08/2011	C	YES
26	Jewelry	fashion hair clip	Lead	330000	ppm	Unknown	Unknown	UNITED STATES	02/08/2011	C	YES
27	Tableware/Pottery	clay pot	Cadmium	Unknown	ppm	Unknown	Unknown	MEXICO	02/08/2011	C	NA
28	Tableware/Pottery	clay pot	Lead	6.2	ppm	Unknown	Unknown	MEXICO	02/08/2011	C	NO
29	Food-Spice	chili powder	Lead	Unknown	ppm	Unknown	BANGLADESH	BANGLADESH	02/15/2011	C	NA
30	Toys/Children's Products	red race car	Lead	73	ppm	Unknown	Unknown	Unknown	02/18/2011	C	NO
31	Food-Spice	soup seasoning	Lead	Unknown	ppm	Prodravka	CROATIA (local name: Hrvatska)	Unknown	02/22/2011	C	NA
32	Food Other	baking yeast	Lead	Unknown	ppm	Unknown	Unknown	Unknown	02/22/2011	C	NA
33	Food-Spice	coriander powder	Lead	Unknown	ppm	Square Consumer Products	BANGLADESH	UNITED STATES	03/05/2011	C	NA
34	Food-Spice	turmeric powder	Lead	760	ppm	Unknown	Unknown	UNITED STATES	03/05/2011	C	YES
35	Cosmetics	surma	Lead	610000	ppm	Unknown	Unknown	Unknown	03/06/2011	C	YES
36	Jewelry	childrens jewelry	Lead	38	ppm	Unknown	CHINA	UNITED STATES	03/09/2011	S	NO
37	Jewelry	childrens jewelry set	Lead	74	ppm	Unknown	CHINA	UNITED STATES	03/09/2011	S	NO
38	Jewelry	childrens jewelry set	Lead	180	ppm	Unknown	CHINA	UNITED STATES	03/09/2011	S	YES
39	Jewelry	earrings	Lead	69	ppm	Unknown	KOREA - DEMOCRATIC PEOPLE'S REPUBLIC OF	UNITED STATES	03/09/2011	S	NO
40	Jewelry	metal charms butterfly	Lead	870000	ppm	Unknown	Unknown	UNITED STATES	03/09/2011	S	YES
41	Jewelry	metal painted charms bear shaped	Lead	530000	ppm	Unknown	UNITED STATES MINOR OUTLYING ISLANDS	UNITED STATES	03/09/2011	S	YES
42	Food-Spice	chili powder	Lead	Unknown	ppm	Unknown	INDIA	INDIA	03/10/2011	C	NA
43	Food-Spice	turmeric powder	Lead	Unknown	ppm	Unknown	INDIA	INDIA	03/10/2011	C	NA
44	Food-Spice	coriander powder	Lead	Unknown	ppm	Unknown	INDIA	INDIA	03/10/2011	C	NA
45	Food-Spice	tea masala	Lead	Unknown	ppm	Unknown	INDIA	INDIA	03/10/2011	C	NA
46	Dietary Supplement/Medications/Remedy	ajantas adusol ayurvedic compound with tulsi	Lead	0.015	ppm	Ajanta Medicals PVT. LTD	INDIA	INDIA	03/10/2011	C	NO
47	Dietary Supplement/Medications/Remedy	omkar adulsa compound	Lead	0.16	ppm	Omkara	INDIA	INDIA	03/10/2011	C	NO
48	Food-Spice	cumin seeds	Lead	Unknown	ppm	Unknown	Unknown	UNITED STATES	03/16/2011	C	NA
49	Food-Spice	ajwain	Lead	Unknown	ppm	Unknown	Unknown	UNITED STATES	03/16/2011	C	NA
50	Food-Spice	curry powder	Lead	Unknown	ppm	Unknown	Unknown	UNITED STATES	03/16/2011	C	NA
51	Food-Spice	turmeric powder	Lead	Unknown	ppm	National Foods Limited	PAKISTAN	UNITED STATES	03/16/2011	C	NA
52	Food-Candy	dulces vero mango	Lead	0.44	ppm	Dulces Vero	MEXICO	UNITED STATES	03/17/2011	C	YES
53	Toys/Children's Products	painted metal toy school bus	Lead	41	ppm	Buddy L Corp	MACAU	Unknown	03/17/2011	C	NO
54	Toys/Children's Products	painted wooden toy top	Lead	170	ppm	Unknown	MEXICO	MEXICO	03/17/2011	C	YES
55	Food-Spice	cumin powder	Lead	4.4	ppm	Unknown	Unknown	UNITED STATES	03/22/2011	C	YES
56	Food-Spice	turmeric powder	Lead	Unknown	ppm	Unknown	Unknown	UNITED STATES	03/22/2011	C	NA
57	Food-Spice	chili powder	Lead	Unknown	ppm	Unknown	Unknown	UNITED STATES	03/22/2011	C	NA
58	Dietary Supplement/Medications/Remedy	cetamol liquid pain fever reliever	Lead	Unknown	ppm	Cetamol	JAMAICA	JAMAICA	03/24/2011	C	NA
59	Dietary Supplement/Medications/Remedy	infants gripe mixture	Lead	Unknown	ppm	P.A. Benjamin Manufacturing Co. LTD	JAMAICA	JAMAICA	03/24/2011	C	NA
60	Dietary Supplement/Medications/Remedy	childrens dph decongestant	Lead	Unknown	ppm	Federal Pharmaceutical	JAMAICA	JAMAICA	03/24/2011	C	NA
61	Food-Spice	georgian spice	Lead	Unknown	ppm	Unknown	GEORGIA	GEORGIA	03/25/2011	C	NA
62	Food-Spice	georgian spice	Lead	0.7	ppm	Unknown	GEORGIA	GEORGIA	03/25/2011	C	NO
63	Food-Spice	georgian spice	Lead	1.5	ppm	Unknown	GEORGIA	GEORGIA	03/25/2011	C	NO
64	Food-Spice	cumin	Lead	Unknown	ppm	Unknown	GEORGIA	GEORGIA	03/25/2011	C	NA
65	Food-Spice	chili powder	Lead	Unknown	ppm	Unknown	Unknown	PAKISTAN	03/25/2011	C	NA
66	Food Other	fruit preserved mangoes cooked in clay pot	Lead	350	ppm	Unknown	Unknown	MEXICO	03/28/2011	A	YES
67	Food-Spice	chili powder	Lead	Unknown	ppm	Unknown	Unknown	PAKISTAN	03/29/2011	C	NA
68	Food-Spice	coriander seeds	Lead	Unknown	ppm	Unknown	Unknown	PAKISTAN	03/29/2011	C	NA
69	Dietary Supplement/Medications/Remedy	vasant kusumakar ras with gold and pearl	Arsenic	Unknown	ppm	Dabur India LTD.	INDIA	INDIA	03/30/2011	A	NA
70	Dietary Supplement/Medications/Remedy	vasant kusumakar ras with gold and pearl	Lead	29	ppm	Dabur India LTD.	INDIA	INDIA	03/30/2011	A	YES
71	Dietary Supplement/Medications/Remedy	vasant kusumakar ras with gold and pearl	Mercury	31000	ppm	Dabur India LTD.	INDIA	INDIA	03/30/2011	A	YES
